00000000 00000038
00000004 0000000A
00000008 00000009
0000000C 00000008
00000010 00000007
00000014 00000006
00000018 00000005
0000001C 00000004
00000020 00000003
00000024 00000002
00000028 00000001
0000002C XXXXXXXX
00000030 XXXXXXXX
00000034 XXXXXXXX
00000038 XXXXXXXX
0000003C XXXXXXXX
00000040 XXXXXXXX
00000044 XXXXXXXX
00000048 XXXXXXXX
0000004C XXXXXXXX
00000050 XXXXXXXX
00000054 XXXXXXXX
00000058 XXXXXXXX
0000005C XXXXXXXX
00000060 XXXXXXXX
00000064 XXXXXXXX
00000068 XXXXXXXX
0000006C XXXXXXXX
00000070 XXXXXXXX
00000074 XXXXXXXX
00000078 XXXXXXXX
0000007C XXXXXXXX
